Node,Chain,Round,Access Time (ms),Response Time (ms)
Node B,stream_node_b,Round-1,202.93,202.93
Node A,stream_node_a,Round-1,278.9,278.9
Node C,stream_node_c,Round-1,309.21,309.21
Node B,stream_node_b,Round-1,154.77,154.77
Node C,stream_node_c,Round-1,139.16,139.16
Node A,stream_node_a,Round-1,311.18,311.18
Node B,stream_node_b,Round-1,296.22,296.22
Node C,stream_node_c,Round-1,279.32,279.32
Node A,stream_node_a,Round-1,264.8,264.8
Node C,stream_node_c,Round-1,189.28,189.28
Node B,stream_node_b,Round-1,282.8,282.8
Node A,stream_node_a,Round-1,297.25,297.25
Node C,stream_node_c,Round-1,107.84,107.84
Node B,stream_node_b,Round-1,281.79,281.79
Node A,stream_node_a,Round-1,233.61,233.61
Node C,stream_node_c,Round-1,186.78,186.78
Node B,stream_node_b,Round-1,225.05,225.05
Node A,stream_node_a,Round-1,151.61,151.61
Node C,stream_node_c,Round-1,271.22,271.22
Node A,stream_node_a,Round-1,168.55,168.55
Node B,stream_node_b,Round-1,282.02,282.02
Node C,stream_node_c,Round-1,155.47,155.47
Node A,stream_node_a,Round-1,138.33,138.33
Node B,stream_node_b,Round-1,148.65,148.65
Node C,stream_node_c,Round-1,250.93,250.93
Node A,stream_node_a,Round-1,217.89,217.89
Node B,stream_node_b,Round-1,218.47,218.47
Node C,stream_node_c,Round-1,281.2,281.2
Node B,stream_node_b,Round-1,156.45,156.45
Node A,stream_node_a,Round-1,280.85,280.85
Node C,stream_node_c,Round-1,171.1,171.1
Node B,stream_node_b,Round-1,234.79,234.79
Node A,stream_node_a,Round-1,282.71,282.71
Node C,stream_node_c,Round-1,109.34,109.34
Node B,stream_node_b,Round-1,298.53,298.53
Node A,stream_node_a,Round-1,250.79,250.79
Node C,stream_node_c,Round-1,296.12,296.12
Node B,stream_node_b,Round-1,141.18,141.18
Node A,stream_node_a,Round-1,187.91,187.91
Node C,stream_node_c,Round-1,249.62,249.62
Node B,stream_node_b,Round-1,248.33,248.33
Node A,stream_node_a,Round-1,202.11,202.11
Node C,stream_node_c,Round-1,140.78,140.78
Node B,stream_node_b,Round-1,295.08,295.08
Node A,stream_node_a,Round-1,247.88,247.88
Node C,stream_node_c,Round-1,233.82,233.82
Node A,stream_node_a,Round-1,124.58,124.58
Node B,stream_node_b,Round-1,249.38,249.38
Node C,stream_node_c,Round-1,124.27,124.27
Node B,stream_node_b,Round-1,155.7,155.7
Node A,stream_node_a,Round-1,296.48,296.48
Node C,stream_node_c,Round-1,188.33,188.33
Node B,stream_node_b,Round-1,175.11,175.11
Node A,stream_node_a,Round-1,234.09,234.09
Node C,stream_node_c,Round-1,107.85,107.85
Node B,stream_node_b,Round-1,174.69,174.69
Node A,stream_node_a,Round-1,237.06,237.06
Node C,stream_node_c,Round-1,236.26,236.26
Node B,stream_node_b,Round-1,254.85,254.85
Node A,stream_node_a,Round-1,198.52,198.52
Node C,stream_node_c,Round-1,165.2,165.2
Node B,stream_node_b,Round-1,234.09,234.09
Node A,stream_node_a,Round-1,296.12,296.12
Node C,stream_node_c,Round-1,186.19,186.19
Node B,stream_node_b,Round-1,188.54,188.54
Node A,stream_node_a,Round-1,264.95,264.95
Node C,stream_node_c,Round-1,217.52,217.52
Node B,stream_node_b,Round-1,266.94,266.94
Node A,stream_node_a,Round-1,188.42,188.42
Node C,stream_node_c,Round-1,156.19,156.19
Node B,stream_node_b,Round-1,170.64,170.64
Node A,stream_node_a,Round-1,155.0,155.0
Node C,stream_node_c,Round-1,296.61,296.61
Node B,stream_node_b,Round-1,124.24,124.24
Node A,stream_node_a,Round-1,140.89,140.89
Node C,stream_node_c,Round-1,109.34,109.34
Node B,stream_node_b,Round-1,139.44,139.44
Node A,stream_node_a,Round-1,156.62,156.62
Node C,stream_node_c,Round-1,220.21,220.21
Node B,stream_node_b,Round-1,203.0,203.0
Node A,stream_node_a,Round-1,124.52,124.52
Node C,stream_node_c,Round-1,155.47,155.47
Node B,stream_node_b,Round-1,219.73,219.73
Node A,stream_node_a,Round-1,283.21,283.21
Node C,stream_node_c,Round-1,110.42,110.42
Node B,stream_node_b,Round-1,296.14,296.14
Node A,stream_node_a,Round-1,204.99,204.99
Node C,stream_node_c,Round-1,252.53,252.53
Node A,stream_node_a,Round-1,155.94,155.94
Node B,stream_node_b,Round-1,249.99,249.99
Node C,stream_node_c,Round-1,155.94,155.94
Node A,stream_node_a,Round-1,156.04,156.04
Node B,stream_node_b,Round-1,233.36,233.36
Node C,stream_node_c,Round-1,249.02,249.02
Node A,stream_node_a,Round-1,125.88,125.88
Node B,stream_node_b,Round-1,125.33,125.33
Node C,stream_node_c,Round-1,282.39,282.39
Node A,stream_node_a,Round-1,141.52,141.52
Node B,stream_node_b,Round-1,186.93,186.93
Node C,stream_node_c,Round-1,234.42,234.42
Node A,stream_node_a,Round-1,184.75,184.75
Node B,stream_node_b,Round-1,141.02,141.02
Node C,stream_node_c,Round-1,109.87,109.87
Node A,stream_node_a,Round-1,236.45,236.45
Node B,stream_node_b,Round-1,203.65,203.65
Node C,stream_node_c,Round-1,218.94,218.94
Node A,stream_node_a,Round-1,189.47,189.47
Node B,stream_node_b,Round-1,222.19,222.19
Node C,stream_node_c,Round-1,124.28,124.28
Node B,stream_node_b,Round-1,155.1,155.1
Node A,stream_node_a,Round-1,281.2,281.2
Node C,stream_node_c,Round-1,203.69,203.69
Node B,stream_node_b,Round-1,187.45,187.45
Node A,stream_node_a,Round-1,282.45,282.45
Node C,stream_node_c,Round-1,220.15,220.15
Node B,stream_node_b,Round-1,125.75,125.75
Node C,stream_node_c,Round-1,123.8,123.8
Node A,stream_node_a,Round-1,279.7,279.7
Node B,stream_node_b,Round-1,251.33,251.33
Node C,stream_node_c,Round-1,218.22,218.22
Node A,stream_node_a,Round-1,249.58,249.58
Node B,stream_node_b,Round-1,283.76,283.76
Node A,stream_node_a,Round-1,203.71,203.71
Node C,stream_node_c,Round-1,297.18,297.18
Node B,stream_node_b,Round-1,265.86,265.86
Node A,stream_node_a,Round-1,125.61,125.61
Node C,stream_node_c,Round-1,140.45,140.45
Node B,stream_node_b,Round-1,218.59,218.59
Node C,stream_node_c,Round-1,124.96,124.96
Node A,stream_node_a,Round-1,265.85,265.85
Node C,stream_node_c,Round-1,188.76,188.76
Node B,stream_node_b,Round-1,251.5,251.5
Node A,stream_node_a,Round-1,266.22,266.22
Node C,stream_node_c,Round-1,139.91,139.91
Node B,stream_node_b,Round-1,281.96,281.96
Node A,stream_node_a,Round-1,266.57,266.57
Node C,stream_node_c,Round-1,187.45,187.45
Node B,stream_node_b,Round-1,217.93,217.93
Node A,stream_node_a,Round-1,282.32,282.32
Node C,stream_node_c,Round-1,155.16,155.16
Node B,stream_node_b,Round-1,233.53,233.53
Node A,stream_node_a,Round-1,124.51,124.51
Node C,stream_node_c,Round-1,155.67,155.67
Node B,stream_node_b,Round-1,141.15,141.15
Node A,stream_node_a,Round-1,219.53,219.53
Node C,stream_node_c,Round-1,124.17,124.17
Node B,stream_node_b,Round-1,266.17,266.17
Node A,stream_node_a,Round-1,186.83,186.83
Node C,stream_node_c,Round-1,203.63,203.63
Node B,stream_node_b,Round-1,203.88,203.88
Node A,stream_node_a,Round-1,157.04,157.04
Node C,stream_node_c,Round-1,281.14,281.14
Node B,stream_node_b,Round-1,124.39,124.39
Node A,stream_node_a,Round-1,248.07,248.07
Node C,stream_node_c,Round-1,202.97,202.97
Node B,stream_node_b,Round-1,123.11,123.11
Node A,stream_node_a,Round-1,125.2,125.2
Node C,stream_node_c,Round-1,234.31,234.31
Node B,stream_node_b,Round-1,141.61,141.61
Node A,stream_node_a,Round-1,187.59,187.59
Node B,stream_node_b,Round-1,125.02,125.02
Node C,stream_node_c,Round-1,297.56,297.56
Node A,stream_node_a,Round-1,265.63,265.63
Node B,stream_node_b,Round-1,182.64,182.64
Node C,stream_node_c,Round-1,167.28,167.28
Node A,stream_node_a,Round-1,190.65,190.65
Node B,stream_node_b,Round-1,125.83,125.83
Node C,stream_node_c,Round-1,246.57,246.57
Node A,stream_node_a,Round-1,124.25,124.25
Node B,stream_node_b,Round-1,271.48,271.48
Node C,stream_node_c,Round-1,165.43,165.43
Node A,stream_node_a,Round-1,257.41,257.41
Node B,stream_node_b,Round-1,203.81,203.81
Node C,stream_node_c,Round-1,264.94,264.94
Node A,stream_node_a,Round-1,171.39,171.39
Node B,stream_node_b,Round-1,202.87,202.87
Node C,stream_node_c,Round-1,156.3,156.3
Node A,stream_node_a,Round-1,234.91,234.91
Node B,stream_node_b,Round-1,125.65,125.65
Node C,stream_node_c,Round-1,202.48,202.48
Node A,stream_node_a,Round-1,140.53,140.53
Node B,stream_node_b,Round-1,246.36,246.36
Node C,stream_node_c,Round-1,124.85,124.85
Node A,stream_node_a,Round-1,231.91,231.91
Node B,stream_node_b,Round-1,156.27,156.27
Node C,stream_node_c,Round-1,186.38,186.38
Node A,stream_node_a,Round-1,156.01,156.01
Node B,stream_node_b,Round-1,282.51,282.51
Node C,stream_node_c,Round-1,299.6,299.6
Node A,stream_node_a,Round-1,157.7,157.7
Node B,stream_node_b,Round-1,156.3,156.3
Node C,stream_node_c,Round-1,314.32,314.32
Node A,stream_node_a,Round-1,298.37,298.37
Node B,stream_node_b,Round-1,140.32,140.32
Node A,stream_node_a,Round-1,140.13,140.13
Node C,stream_node_c,Round-1,220.32,220.32
Node B,stream_node_b,Round-1,204.66,204.66
Node A,stream_node_a,Round-1,250.25,250.25
Node C,stream_node_c,Round-1,313.97,313.97
Node B,stream_node_b,Round-1,248.05,248.05
Node A,stream_node_a,Round-1,298.87,298.87
Node C,stream_node_c,Round-1,297.69,297.69
Node B,stream_node_b,Round-1,140.86,140.86
Node A,stream_node_a,Round-1,234.03,234.03
Node C,stream_node_c,Round-1,156.26,156.26
Node B,stream_node_b,Round-1,171.92,171.92
Node C,stream_node_c,Round-1,125.23,125.23
Node A,stream_node_a,Round-1,188.01,188.01
Node B,stream_node_b,Round-1,251.65,251.65
Node A,stream_node_a,Round-1,186.43,186.43
Node C,stream_node_c,Round-1,248.01,248.01
Node B,stream_node_b,Round-1,125.94,125.94
Node A,stream_node_a,Round-1,250.65,250.65
Node C,stream_node_c,Round-1,281.33,281.33
Node B,stream_node_b,Round-1,124.79,124.79
Node A,stream_node_a,Round-1,171.35,171.35
Node C,stream_node_c,Round-1,279.93,279.93
Node B,stream_node_b,Round-1,217.41,217.41
Node A,stream_node_a,Round-1,125.1,125.1
Node C,stream_node_c,Round-1,204.49,204.49
Node B,stream_node_b,Round-1,283.05,283.05
Node A,stream_node_a,Round-1,250.83,250.83
Node C,stream_node_c,Round-1,125.79,125.79
Node B,stream_node_b,Round-1,125.15,125.15
Node A,stream_node_a,Round-1,219.73,219.73
Node C,stream_node_c,Round-1,172.6,172.6
Node B,stream_node_b,Round-1,188.77,188.77
Node A,stream_node_a,Round-1,173.53,173.53
Node B,stream_node_b,Round-1,125.15,125.15
Node C,stream_node_c,Round-1,251.33,251.33
Node A,stream_node_a,Round-1,171.05,171.05
Node C,stream_node_c,Round-1,247.45,247.45
Node B,stream_node_b,Round-1,262.73,262.73
Node A,stream_node_a,Round-1,140.79,140.79
Node B,stream_node_b,Round-1,124.65,124.65
Node C,stream_node_c,Round-1,264.91,264.91
Node A,stream_node_a,Round-1,280.47,280.47
Node B,stream_node_b,Round-1,226.95,226.95
Node C,stream_node_c,Round-1,225.72,225.72
Node A,stream_node_a,Round-1,179.07,179.07
Node B,stream_node_b,Round-1,300.78,300.78
Node C,stream_node_c,Round-1,207.14,207.14
Node A,stream_node_a,Round-1,296.75,296.75
Node B,stream_node_b,Round-1,123.26,123.26
Node C,stream_node_c,Round-1,214.0,214.0
Node A,stream_node_a,Round-1,203.65,203.65
Node B,stream_node_b,Round-1,186.57,186.57
Node C,stream_node_c,Round-1,187.4,187.4
Node A,stream_node_a,Round-1,172.66,172.66
Node B,stream_node_b,Round-1,109.95,109.95
Node C,stream_node_c,Round-1,188.3,188.3
Node B,stream_node_b,Round-1,124.49,124.49
Node A,stream_node_a,Round-1,280.02,280.02
Node C,stream_node_c,Round-1,187.33,187.33
Node B,stream_node_b,Round-1,117.51,117.51
Node A,stream_node_a,Round-1,110.31,110.31
Node C,stream_node_c,Round-1,300.46,300.46
Node B,stream_node_b,Round-1,139.16,139.16
Node A,stream_node_a,Round-1,223.73,223.73
Node C,stream_node_c,Round-1,215.57,215.57
Node B,stream_node_b,Round-1,139.37,139.37
Node A,stream_node_a,Round-1,108.74,108.74
Node C,stream_node_c,Round-1,140.51,140.51
Node B,stream_node_b,Round-1,282.32,282.32
Node A,stream_node_a,Round-1,125.85,125.85
Node C,stream_node_c,Round-1,124.2,124.2
Node B,stream_node_b,Round-1,264.09,264.09
Node A,stream_node_a,Round-1,264.68,264.68
Node C,stream_node_c,Round-1,170.07,170.07
Node A,stream_node_a,Round-1,155.83,155.83
Node B,stream_node_b,Round-1,282.49,282.49
Node C,stream_node_c,Round-1,126.04,126.04
Node B,stream_node_b,Round-1,124.84,124.84
Node A,stream_node_a,Round-1,312.29,312.29
Node C,stream_node_c,Round-1,247.54,247.54
Node B,stream_node_b,Round-1,265.26,265.26
Node A,stream_node_a,Round-1,205.56,205.56
Node C,stream_node_c,Round-1,160.01,160.01
Node A,stream_node_a,Round-1,122.23,122.23
Node B,stream_node_b,Round-1,303.4,303.4
Node C,stream_node_c,Round-1,287.71,287.71
Node A,stream_node_a,Round-1,250.34,250.34
Node B,stream_node_b,Round-1,254.1,254.1
Node C,stream_node_c,Round-1,188.19,188.19
Node A,stream_node_a,Round-1,184.52,184.52
Node B,stream_node_b,Round-1,219.31,219.31
Node C,stream_node_c,Round-1,278.43,278.43
Node A,stream_node_a,Round-1,249.91,249.91
Node B,stream_node_b,Round-1,289.33,289.33
Node C,stream_node_c,Round-1,196.46,196.46
Node A,stream_node_a,Round-1,249.54,249.54
Node B,stream_node_b,Round-1,141.43,141.43
Node C,stream_node_c,Round-1,157.02,157.02
Node A,stream_node_a,Round-1,187.82,187.82
Node C,stream_node_c,Round-1,141.73,141.73
Node B,stream_node_b,Round-1,281.09,281.09
Node A,stream_node_a,Round-1,178.56,178.56
Node C,stream_node_c,Round-1,276.59,276.59
Node B,stream_node_b,Round-1,238.76,238.76
Node A,stream_node_a,Round-1,169.4,169.4
Node C,stream_node_c,Round-2,112.63,112.63
Node A,stream_node_a,Round-2,112.63,112.63
Node B,stream_node_b,Round-2,282.2,282.2
Node C,stream_node_c,Round-2,243.82,243.82
Node A,stream_node_a,Round-2,301.05,301.05
Node B,stream_node_b,Round-2,220.62,220.62
Node A,stream_node_a,Round-2,141.17,141.17
Node C,stream_node_c,Round-2,302.32,302.32
Node B,stream_node_b,Round-2,211.07,211.07
Node A,stream_node_a,Round-2,202.84,202.84
Node C,stream_node_c,Round-2,141.47,141.47
Node B,stream_node_b,Round-2,251.28,251.28
Node A,stream_node_a,Round-2,141.76,141.76
Node C,stream_node_c,Round-2,141.54,141.54
Node A,stream_node_a,Round-2,109.26,109.26
Node C,stream_node_c,Round-2,172.88,172.88
Node B,stream_node_b,Round-2,298.38,298.38
Node A,stream_node_a,Round-2,202.37,202.37
Node B,stream_node_b,Round-2,169.15,169.15
Node C,stream_node_c,Round-2,250.56,250.56
Node A,stream_node_a,Round-2,110.24,110.24
Node B,stream_node_b,Round-2,219.94,219.94
Node A,stream_node_a,Round-2,124.25,124.25
Node C,stream_node_c,Round-2,281.64,281.64
Node A,stream_node_a,Round-2,111.15,111.15
Node C,stream_node_c,Round-2,110.65,110.65
Node B,stream_node_b,Round-2,284.73,284.73
Node A,stream_node_a,Round-2,171.4,171.4
Node C,stream_node_c,Round-2,174.44,174.44
Node B,stream_node_b,Round-2,267.45,267.45
Node A,stream_node_a,Round-2,172.41,172.41
Node C,stream_node_c,Round-2,207.02,207.02
Node B,stream_node_b,Round-2,298.23,298.23
Node A,stream_node_a,Round-2,251.71,251.71
Node C,stream_node_c,Round-2,297.34,297.34
Node B,stream_node_b,Round-2,142.83,142.83
Node A,stream_node_a,Round-2,270.77,270.77
Node C,stream_node_c,Round-2,111.4,111.4
Node B,stream_node_b,Round-2,299.51,299.51
Node A,stream_node_a,Round-2,187.82,187.82
Node C,stream_node_c,Round-2,250.23,250.23
Node A,stream_node_a,Round-2,124.59,124.59
Node B,stream_node_b,Round-2,172.6,172.6
Node C,stream_node_c,Round-2,220.28,220.28
Node B,stream_node_b,Round-2,249.38,249.38
Node A,stream_node_a,Round-2,281.54,281.54
Node C,stream_node_c,Round-2,173.57,173.57
Node B,stream_node_b,Round-2,140.1,140.1
Node A,stream_node_a,Round-2,139.88,139.88
Node C,stream_node_c,Round-2,222.37,222.37
Node B,stream_node_b,Round-2,260.15,260.15
Node A,stream_node_a,Round-2,293.14,293.14
Node C,stream_node_c,Round-2,244.68,244.68
Node B,stream_node_b,Round-2,164.27,164.27
Node A,stream_node_a,Round-2,288.49,288.49
Node C,stream_node_c,Round-2,181.59,181.59
Node B,stream_node_b,Round-2,172.95,172.95
Node C,stream_node_c,Round-2,108.39,108.39
Node A,stream_node_a,Round-2,241.01,241.01
Node B,stream_node_b,Round-2,239.04,239.04
Node C,stream_node_c,Round-2,277.96,277.96
Node A,stream_node_a,Round-2,223.92,223.92
Node B,stream_node_b,Round-2,287.47,287.47
Node C,stream_node_c,Round-2,217.85,217.85
Node A,stream_node_a,Round-2,172.12,172.12
Node B,stream_node_b,Round-2,124.97,124.97
Node C,stream_node_c,Round-2,221.93,221.93
Node A,stream_node_a,Round-2,206.48,206.48
Node B,stream_node_b,Round-2,190.11,190.11
Node C,stream_node_c,Round-2,280.77,280.77
Node A,stream_node_a,Round-2,280.06,280.06
Node B,stream_node_b,Round-2,264.61,264.61
Node A,stream_node_a,Round-2,139.83,139.83
Node C,stream_node_c,Round-2,186.42,186.42
Node B,stream_node_b,Round-2,281.66,281.66
Node A,stream_node_a,Round-2,233.58,233.58
Node C,stream_node_c,Round-2,278.83,278.83
Node B,stream_node_b,Round-2,187.26,187.26
Node A,stream_node_a,Round-2,171.27,171.27
Node C,stream_node_c,Round-2,312.7,312.7
Node B,stream_node_b,Round-2,251.03,251.03
Node A,stream_node_a,Round-2,173.0,173.0
Node C,stream_node_c,Round-2,110.36,110.36
Node A,stream_node_a,Round-2,139.86,139.86
Node B,stream_node_b,Round-2,280.47,280.47
Node C,stream_node_c,Round-2,156.24,156.24
Node A,stream_node_a,Round-2,172.45,172.45
Node B,stream_node_b,Round-2,141.89,141.89
Node C,stream_node_c,Round-2,191.24,191.24
Node A,stream_node_a,Round-2,158.74,158.74
Node B,stream_node_b,Round-2,125.49,125.49
Node C,stream_node_c,Round-2,189.05,189.05
Node A,stream_node_a,Round-2,172.83,172.83
Node B,stream_node_b,Round-2,188.03,188.03
Node C,stream_node_c,Round-2,187.54,187.54
Node A,stream_node_a,Round-2,249.81,249.81
Node B,stream_node_b,Round-2,202.89,202.89
Node C,stream_node_c,Round-2,235.43,235.43
Node A,stream_node_a,Round-2,172.72,172.72
Node B,stream_node_b,Round-2,171.76,171.76
Node A,stream_node_a,Round-2,155.13,155.13
Node C,stream_node_c,Round-2,265.25,265.25
Node B,stream_node_b,Round-2,250.51,250.51
Node B,stream_node_b,Round-2,139.99,139.99
Node A,stream_node_a,Round-2,314.05,314.05
Node C,stream_node_c,Round-2,297.48,297.48
Node C,stream_node_c,Round-2,109.91,109.91
Node A,stream_node_a,Round-2,171.59,171.59
Node B,stream_node_b,Round-2,267.13,267.13
Node C,stream_node_c,Round-2,109.37,109.37
Node A,stream_node_a,Round-2,156.35,156.35
Node B,stream_node_b,Round-2,252.97,252.97
Node A,stream_node_a,Round-2,174.41,174.41
Node C,stream_node_c,Round-2,301.82,301.82
Node B,stream_node_b,Round-2,269.02,269.02
Node C,stream_node_c,Round-2,143.08,143.08
Node A,stream_node_a,Round-2,175.08,175.08
Node C,stream_node_c,Round-2,203.47,203.47
Node B,stream_node_b,Round-2,281.64,281.64
Node A,stream_node_a,Round-2,249.23,249.23
Node C,stream_node_c,Round-2,111.58,111.58
Node B,stream_node_b,Round-2,237.27,237.27
Node A,stream_node_a,Round-2,237.72,237.72
Node B,stream_node_b,Round-2,127.51,127.51
Node C,stream_node_c,Round-2,284.62,284.62
Node A,stream_node_a,Round-2,173.79,173.79
Node B,stream_node_b,Round-2,109.62,109.62
Node A,stream_node_a,Round-2,140.87,140.87
Node C,stream_node_c,Round-2,251.15,251.15
Node B,stream_node_b,Round-2,124.7,124.7
Node B,stream_node_b,Round-2,140.31,140.31
Node C,stream_node_c,Round-2,248.82,248.82
Node A,stream_node_a,Round-2,310.78,310.78
Node B,stream_node_b,Round-2,139.29,139.29
Node A,stream_node_a,Round-2,154.95,154.95
Node C,stream_node_c,Round-2,233.28,233.28
Node B,stream_node_b,Round-2,140.73,140.73
Node A,stream_node_a,Round-2,252.79,252.79
Node C,stream_node_c,Round-2,253.14,253.14
Node B,stream_node_b,Round-2,283.74,283.74
Node A,stream_node_a,Round-2,252.54,252.54
Node C,stream_node_c,Round-2,252.25,252.25
Node B,stream_node_b,Round-2,156.75,156.75
Node A,stream_node_a,Round-2,205.74,205.74
Node C,stream_node_c,Round-2,252.12,252.12
Node B,stream_node_b,Round-2,156.52,156.52
Node A,stream_node_a,Round-2,202.87,202.87
Node B,stream_node_b,Round-2,109.79,109.79
Node C,stream_node_c,Round-2,141.11,141.11
